danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.747,0.44,7,-9.452,1,0.035,0.0359,0.00217,0.0796,0.8190000000000001,100.017,audio_features,1cKacVOYBOQy6OcgOJNDjo,spotify:track:1cKacVOYBOQy6OcgOJNDjo,https://api.spotify.com/v1/tracks/1cKacVOYBOQy6OcgOJNDjo,https://api.spotify.com/v1/audio-analysis/1cKacVOYBOQy6OcgOJNDjo,242960,4
0.723,0.754,10,-9.376,1,0.057600000000000005,0.049100000000000005,0.0011200000000000001,0.393,0.592,97.203,audio_features,5uWLuFDmMs1r44KFfUwWiA,spotify:track:5uWLuFDmMs1r44KFfUwWiA,https://api.spotify.com/v1/tracks/5uWLuFDmMs1r44KFfUwWiA,https://api.spotify.com/v1/audio-analysis/5uWLuFDmMs1r44KFfUwWiA,420720,4
0.577,0.523,0,-5.538,0,0.0429,0.491,0.0,0.147,0.29,134.93,audio_features,06u5LrUpbosQlQ1QJFhPpG,spotify:track:06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/tracks/06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/audio-analysis/06u5LrUpbosQlQ1QJFhPpG,231400,4
0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.23900000000000002,79.938,audio_features,5WNYg3usc6H8N3MBEp4zVk,spotify:track:5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/tracks/5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/audio-analysis/5WNYg3usc6H8N3MBEp4zVk,320720,4
0.307,0.507,9,-8.666,0,0.0448,0.258,0.0,0.0989,0.28800000000000003,82.356,audio_features,6RlCAz0D46BfQpp4dzI0wm,spotify:track:6RlCAz0D46BfQpp4dzI0wm,https://api.spotify.com/v1/tracks/6RlCAz0D46BfQpp4dzI0wm,https://api.spotify.com/v1/audio-analysis/6RlCAz0D46BfQpp4dzI0wm,200530,4
0.47200000000000003,0.153,0,-11.508,1,0.0395,0.793,1.95e-06,0.655,0.0745,104.551,audio_features,3ve2MJbizM0AWWwGuBFb0o,spotify:track:3ve2MJbizM0AWWwGuBFb0o,https://api.spotify.com/v1/tracks/3ve2MJbizM0AWWwGuBFb0o,https://api.spotify.com/v1/audio-analysis/3ve2MJbizM0AWWwGuBFb0o,195426,4
0.662,0.581,0,-7.776,1,0.022500000000000003,0.015,0.372,0.0916,0.359,101.011,audio_features,4BKYPZFi6bqJOrrxOEhzct,spotify:track:4BKYPZFi6bqJOrrxOEhzct,https://api.spotify.com/v1/tracks/4BKYPZFi6bqJOrrxOEhzct,https://api.spotify.com/v1/audio-analysis/4BKYPZFi6bqJOrrxOEhzct,219653,4
0.324,0.0379,11,-25.247,1,0.055400000000000005,0.987,0.907,0.0756,0.0383,120.169,audio_features,7Jd0MqZq15T4pDWts2G6Yl,spotify:track:7Jd0MqZq15T4pDWts2G6Yl,https://api.spotify.com/v1/tracks/7Jd0MqZq15T4pDWts2G6Yl,https://api.spotify.com/v1/audio-analysis/7Jd0MqZq15T4pDWts2G6Yl,132307,4
0.786,0.5640000000000001,6,-4.549,0,0.153,0.20500000000000002,4.2800000000000004e-05,0.0888,0.651,100.068,audio_features,4NlZMh26pWn34TQ0luNEmj,spotify:track:4NlZMh26pWn34TQ0luNEmj,https://api.spotify.com/v1/tracks/4NlZMh26pWn34TQ0luNEmj,https://api.spotify.com/v1/audio-analysis/4NlZMh26pWn34TQ0luNEmj,178546,4
0.731,0.45,6,-8.086,0,0.0443,0.136,0.0009889999999999999,0.107,0.08560000000000001,105.989,audio_features,31ABtQJdfloNaGz7ZhXaN5,spotify:track:31ABtQJdfloNaGz7ZhXaN5,https://api.spotify.com/v1/tracks/31ABtQJdfloNaGz7ZhXaN5,https://api.spotify.com/v1/audio-analysis/31ABtQJdfloNaGz7ZhXaN5,280131,4
