,genres,artist_popularity
Anika,"['bristol indie', 'experimental pop']",38
Branko,['moombahton'],42
Sleep Powder,['focus beats'],29
Kelow LaTesha,"['dmv rap', 'trap queen']",23
Yuutsu,"['focus beats', 'lo-fi beats']",23
Tommy Cash,['estonian hip hop'],50
Juke Remix,[],29
Aair,[],21
St. Lucia,"['alternative dance', 'chillwave', 'electropop', 'indie poptimism', 'indietronica', 'metropopolis', 'modern rock', 'neo-synthpop', 'nyc pop', 'shimmer pop']",49
Aidan Alexander,[],30
Cubby,[],5
Tennyson,"['edmonton indie', 'future bass', 'vapor twitch']",45
amies,['lo-fi beats'],52
Cráneo,"['mexican hip hop', 'urbano espanol']",55
Josie Dunne,['pop soul'],52
William Bolton,[],40
The Growlers,"['garage rock revival', 'indie garage rock', 'indie surf']",59
Sean Grandillo,[],7
Luminist,[],23
Melanie Rosé,[],21
Anime your Music,[],27
Jamie Lidell,"['funk', 'neo soul', 'pop soul', 'soul']",45
Crypton,['uptempo hardcore'],37
Barrie,"['brooklyn indie', 'indie pop', 'indie rock']",48
Michael Wyckoff,[],45
Florun,[],3
You'll Never Get to Heaven,"['ambient pop', 'dream pop', 'lo-fi indie', 'london on indie']",44
Kwaii Fong,[],30
Girls Rituals,['weirdcore'],34
Norah Jones,"['contemporary vocal jazz', 'jazz pop']",71
Frills,[],21
Chill Moon Music,[],50
NSTASIA,[],48
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",82
Sylvester,"['disco', 'hi-nrg', 'post-disco']",48
Avenza,['gaming edm'],34
Childlike Sound,[],2
Mumford & Sons,"['modern folk rock', 'stomp and holler', 'uk americana']",71
Jelani Aryeh,"['bedroom soul', 'indie pop']",50
Orla Gartland,"['indie pop', 'irish pop']",54
Maddie Jay,['la pop'],34
San Holo,"['edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'pop dance', 'pop edm', 'vapor twitch']",57
Yorkville,['background jazz'],38
Thomas Rouzic,"['scorecore', 'vgm instrumental']",28
Altair Blake,[],53
slenderbodies,"['indie poptimism', 'indie soul', 'vapor soul']",50
Hot Shade,"['edm', 'pop dance', 'pop edm', 'tropical house']",62
Rick Braun,"['jazz trumpet', 'smooth jazz']",44
Julia Nunes,['nyc pop'],33
Pussy Riot,"['escape room', 'riot grrrl', 'russian indie', 'russian punk']",43
I DONT KNOW HOW BUT THEY FOUND ME,"['alt z', 'indie pop', 'modern rock', 'rock']",61
Downstairs Jazz Band,[],13
[ K S R ],"['british soul', 'uk contemporary r&b']",32
Kerlo,[],8
Terence Etc.,[],29
Mvzonik,[],23
Good Charlotte,"['alternative metal', 'pop punk']",65
ghost orchard,"['grand rapids indie', 'lo-fi indie', 'small room']",34
Oliver Kid,[],31
vaveirt,[],0
NickyDiesel,[],26
Die Antwoord,"['african rock', 'south african alternative', 'south african hip hop']",58
Knox White,['la pop'],22
Sxmniak,[],19
n o r m a l,"['chillhop', 'dominican indie', 'lo-fi jazzhop']",42
Lofi Lia,"['lo-fi vgm', 'undertale']",50
Samsa,"['lo-fi rap', 'meme rap']",45
Strange Talk,"['alternative dance', 'indie poptimism', 'metropopolis', 'shimmer pop']",36
Ky akasha,['lo-fi beats'],47
Purr,[],27
Saxity,['deep tropical house'],44
ROZES,"['electropop', 'indie poptimism', 'pop edm']",60
Slipfunc,"['lo-fi beats', 'lo-fi chill', 'sad lo-fi']",44
Evalyn,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'vapor soul']",43
death's dynamic shroud,"['art pop', 'deconstructed club', 'escape room', 'hardvapour', 'slushwave', 'vaporwave']",41
Oshi,"['future bass', 'vapor twitch']",33
SayMaxWell,"['antiviral pop', 'fnaf', 'fnf', 'otacore', 'speedrun', 'undertale']",45
Nehruviandoom,['alternative hip hop'],36
Low Heat,[],19
Saba,"['chicago rap', 'hip hop', 'rap', 'underground hip hop']",63
Eila,[],18
Emily the Fairy,[],2
Povi,[],11
Dagny,"['electropop', 'norwegian pop', 'tropical house']",59
Rosie Tucker,"['bubblegrunge', 'indie pop']",33
Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",81
Father John Misty,"['chamber pop', 'indie rock']",60
Tristan Wells,['la pop'],11
Schaufel und Spaten,"['german boom bap', 'jazz boom bap']",27
Brokeback,['jazz rock'],26
Violent Femmes,"['acoustic punk', 'alternative rock', 'pop rock', 'punk', 'rock']",56
V V Brown,"['british soul', 'metropopolis']",37
Mu'gambi,['focus beats'],34
Ulisex Spa Center,[],0
CXLOE,"['alt z', 'australian alternative pop', 'australian electropop', 'australian pop']",40
Timothy Bowman,[],0
Merlyn Wood,[],32
Sade,"['british soul', 'sophisti-pop']",69
Doc Robinson,"['columbus ohio indie', 'deep new americana', 'stomp and holler']",35
Bo Burnham,['comic'],71
Natasha Bedingfield,"['dance pop', 'europop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",64
TheSenseiBlue,[],3
Kai Peaks,[],0
Cake Pop,"['escape room', 'hyperpop', 'proto-hyperpop']",32
Selah Sue,"['belgian pop', 'neo soul']",52
Jenevieve,"['alternative r&b', 'chill r&b', 'indie r&b']",55
yuma yamaguchi,['japanese jazz fusion'],31
Kikiyama,['weirdcore'],44
Huez,"['focus beats', 'lo-fi beats']",40
Gabriel Garzón-Montano,"['alternative r&b', 'indie jazz', 'indie soul']",39
Beret,"['latin pop', 'spanish hip hop']",71
Refs,"['indie electropop', 'nyc pop', 'vapor soul']",36
Sister Sledge,"['dance pop', 'disco', 'philly soul', 'post-disco', 'quiet storm', 'soul']",58
Slater,[],37
Andrey Azizov,[],39
Icarus Moth,[],22
Juto,[],37
The Hellp,['synth punk'],38
Rapsody,"['alternative hip hop', 'alternative r&b', 'escape room', 'hip hop', 'north carolina hip hop', 'trap queen', 'underground hip hop']",51
BRONZE AVERY,[],31
FROMTHEHEART,"['glitchcore', 'hyperpop']",26
DanDlion,['uk pop'],35
Rushes,['irish pop'],9
Ryan Cabrera,"['neo mellow', 'pop rock', 'post-teen pop']",46
Camera Obscura,"['chamber pop', 'indie pop', 'scottish indie', 'twee pop']",43
Begonia,"['deep new americana', 'manitoba indie']",30
Bing Crosby,"['adult standards', 'easy listening']",73
Agung Mango,"['australian trap', 'australian underground hip hop']",29
Meg Mac,"['australian indie', 'australian pop']",46
Michaela,[],4
Abstract Mindstate,[],28
42 Dugg,"['detroit trap', 'rap', 'trap']",71
Dancody,[],31
Josly Meso,['lo-fi rap'],26
Denitia,['neo r&b'],38
Vincent Herring,['jazz saxophone'],29
Amadelle,[],16
The Glitch Mob,"['edm', 'electro house', 'glitch', 'glitch hop', 'indietronica']",61
3l3d3p,['weirdcore'],33
Ben Abraham,['indie anthem-folk'],47
Groove.,[],27
Feng Suave,['bedroom pop'],51
svrite,"['meme rap', 'vapor trap', 'viral rap']",39
Tally Hall,"['ann arbor indie', 'indie pop']",62
Sen Morimoto,['jazz rap'],32
Denai Moore,['uk alternative pop'],29
Juletta,[],12
Piotr Musiał,['video game music'],47
Curtis Mayfield,"['chicago soul', 'classic soul', 'funk', 'soul']",58
tricot,"['japanese math rock', 'japanese post-rock', 'math rock']",44
Andrelli,['swedish pop'],46
Karma Houdini,[],4
Front Porch Step,['acoustic rock'],45
Meltt,[],40
Rosie Carney,"['indie folk', 'irish singer-songwriter', 'new americana']",50
Soko,['french indie pop'],49
yes/and,"['fourth world', 'pastoral']",37
Lewis Del Mar,"['indie poptimism', 'modern alternative rock', 'modern rock', 'nyc pop', 'vapor soul']",48
Nightmare Beats,"['focus beats', 'lo-fi brasileiro']",17
AJJ,"['acoustic punk', 'anti-folk', 'folk punk', 'indie pop']",53
Mars Today,['neo r&b'],27
Flight Facilities,"['alternative dance', 'aussietronica', 'australian dance', 'edm', 'indie soul', 'nu disco']",59
Willy William,['francoton'],66
Nirvana,"['grunge', 'permanent wave', 'rock']",80
Timothy Kay Band,[],30
Lookas,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop edm']",55
Michael Seyer,"['bedroom pop', 'indie garage rock', 'indie pop']",45
Kina,['sad lo-fi'],68
Don Diablo,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",66
NIMMO,"['uk alternative pop', 'uk pop']",38
Kat Cunning,[],38
Woman Believer,[],27
bear bear & friends,[],43
Icona Pop,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish synthpop']",65
pizzagirl,"['bedroom pop', 'liverpool indie']",34
Chick Corea,"['contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']",49
Nightcore,"['hands up', 'nightcore']",51
Moody.,[],37
Charles Daisey & Friends,[],34
Leah Dou,"['chinese indie', 'chinese indie pop']",30
BlocBoy JB,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap', 'viral rap']",60
Miles Davis Quintet,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion']",49
Emily Yacina,"['lo-fi indie', 'small room']",55
courtship.,"['indie pop', 'indie poptimism', 'la pop', 'modern rock']",42
Blake Yung,[],36
Huntertones,['instrumental funk'],28
Emotional Oranges,"['indie r&b', 'pop']",57
Petal,"['bubblegrunge', 'small room']",17
GAWVI,"['christian hip hop', 'christian trap', 'miami hip hop', 'rap cristiano']",49
K/92,['future funk'],19
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",88
Turnstile,"['hardcore punk', 'modern melodic hardcore']",62
Frank Walker,"['edm', 'pop dance', 'pop edm', 'tropical house']",54
Playdate,[],26
Kevin Krauter,['indiana indie'],36
Miya Folick,"['art pop', 'bubblegrunge', 'indie pop', 'la indie']",43
Sappheiros,[],38
shogonodo,['lo-fi beats'],28
Brendan Eder Ensemble,['modern chamber music'],32
TiaCorine,"['alternative r&b', 'escape room', 'trap queen']",48
Bernice,['toronto indie'],18
REYNA,['milwaukee indie'],27
Funky Times,['modern funk'],33
Rajstar,[],29
Joyce Cooling,"['jazz guitar', 'smooth jazz']",43
Tyla Yaweh,"['cali rap', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",61
Midnight To Monaco,[],31
Ying Yang Twins,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",61
Squarehead,['dublin indie'],4
Peter Wellman,[],1
dreamcrisis,[],0
Joe Nora,[],32
Taio Cruz,"['dance pop', 'edm', 'pop', 'pop rap']",68
Motion City Soundtrack,"['emo', 'pop punk']",51
TOPS,"['art pop', 'chillwave', 'quebec indie', 'shiver pop']",48
Lollia,['otacore'],51
Novo Amor,"['ambient folk', 'indie folk', 'pop']",70
Hyperparadise,[],25
David Hazeltine,"['background jazz', 'modern jazz piano']",45
Tropical Fuck Storm,"['art punk', 'neo-psychedelic']",38
Valee,"['chicago rap', 'underground hip hop', 'vapor trap']",46
Ryan Pulford,[],29
PLAZA,"['canadian contemporary r&b', 'trap soul']",53
Drevm,['lo-fi beats'],31
LoFi VGM,['lo-fi vgm'],35
Café del Mar,['chill lounge'],36
Fana Hues,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",58
el rompe t,[],0
faceless boy.,"['lo-fi chill', 'sad lo-fi']",30
Ruben Slikk,['underground hip hop'],21
Denyah,[],31
Hush Forte,"['indie hip hop', 'indie r&b']",41
Gustav Lundgren,[],41
Cibo Matto,"['dream pop', 'shibuya-kei', 'trip hop']",40
Alex Bone,[],21
Auntie Flo,"['organic electronic', 'scottish electronic']",29
Rednex,"['bubblegum dance', 'eurodance', 'europop', 'hip house', 'swedish country']",55
Keyon Christ,[],20
Baauer,"['bass trap', 'electro house', 'electronic trap', 'vapor twitch']",52
The Vaccines,"['english indie rock', 'indie rock', 'modern rock', 'rock']",57
Jobii,['study beats'],46
Smeeagain,['lo-fi jazzhop'],49
Matt Watson,[],51
Flammy,['future funk'],26
Mindless Self Indulgence,"['alternative metal', 'dance-punk', 'industrial metal', 'nu metal', 'viral rap']",61
Clay K Slider,[],37
Elliot Ziegler,"['background music', 'calming instrumental', 'focus']",42
83 Babies,[],30
Ty Dolla $ign,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",80
aekasora,['japanese chillhop'],38
Hablot Brown,"['chill r&b', 'indie r&b', 'indie soul']",46
XLD Library,['brain waves'],29
Saski,"['electropop', 'indie electropop']",26
Benjamin Gustafsson,['neo-classical'],44
Bastille,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
Christine and the Queens,"['art pop', 'electro-pop francais', 'electropop', 'metropopolis', 'shimmer pop']",58
Mind Shrine,['houston indie'],24
Tak Shindo,"['exotica', 'lounge', 'space age pop']",25
No Doubt,"['alternative rock', 'dance pop', 'dance rock', 'permanent wave', 'pop rock']",65
Hermit and the Recluse,['boom bap'],30
7&Nine,"['focus beats', 'lo-fi jazzhop']",48
Luu Breeze,['canadian hip hop'],18
Hippo Campus,"['indie pop', 'indie poptimism', 'indie rock', 'minneapolis indie', 'modern rock']",61
FKJ,"['filter house', 'indie soul']",68
Xavier Wulf,"['dark trap', 'memphis hip hop', 'underground hip hop', 'vapor trap']",67
Floetry,"['british soul', 'contemporary r&b', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",47
Nick Cianci,[],5
Charlie Burg,"['ann arbor indie', 'bedroom soul', 'indie pop']",58
Juice WRLD,"['chicago rap', 'melodic rap']",88
ElMari.,[],8
Flosstradamus,"['bass trap', 'edm', 'electro house', 'electronic trap', 'mashup']",46
J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino']",87
Greta Stanley,"['australian alternative pop', 'australian indie', 'australian pop']",42
Rebelion,"['rawstyle', 'xtra raw']",55
Marlon Williams,"['nz folk', 'nz pop', 'nz singer-songwriter']",50
Kelora,[],15
draag me,['glitch pop'],28
VAPERROR,"['hardvapour', 'vaporwave']",35
Warren Hill,"['smooth jazz', 'smooth saxophone']",39
⟪radio.wavs⟫,[],0
Timbaland,"['dance pop', 'hip hop', 'pop', 'pop rap', 'urban contemporary']",75
Kungs,"['edm', 'pop dance', 'tropical house']",67
Andrés Cepeda,"['colombian pop', 'latin pop', 'tropical']",63
Rachael Yamagata,"['acoustic pop', 'lilith']",45
Tim Franks Trio,[],44
twiddy,[],7
Mereba,"['alternative r&b', 'chill r&b', 'escape room', 'high vibe', 'indie r&b', 'indie soul', 'neo soul', 'r&b']",57
Marlowe,"['alternative hip hop', 'experimental hip hop']",43
Skizzy Mars,"['indie pop rap', 'pop rap', 'underground hip hop']",51
Shanzyan,[],7
thankyoubrother,[],0
Simnoid,[],25
bbno$,"['canadian hip hop', 'dark trap', 'vapor trap']",73
Parquet Courts,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'indie rock', 'modern rock', 'neo-psychedelic', 'noise pop']",49
Akenya,[],34
Angels in America,[],15
GOLDHOUSE,['pop edm'],49
Aquilo,['indie folk'],56
Avonlea,[],30
HURON MAKINON,[],9
David Fenn,"['indie game soundtrack', 'video game music']",39
Dresses,[],27
Krista Lake Band,[],33
Sweater Beats,"['gauze pop', 'vapor twitch']",40
The Tealeaf Jazz Trio,[],35
Maxwell Young,['chillhop'],47
Jay Squared,['lo-fi rap'],35
Shane The Crane,[],24
austenyo,['modern indie pop'],36
Kelsey Bulkin,[],31
Mohmega,[],27
Koralle,"['chillhop', 'italian jazz fusion', 'jazz boom bap', 'lo-fi jazzhop']",47
Pritty,[],24
nelward,[],44
Ninjoi.,['lo-fi beats'],28
Mesmonium,[],27
AJ Mitchell,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",62
Burt Mitchell,['background jazz'],38
brakence,"['emo rap', 'glitchcore', 'hyperpop', 'sad rap']",57
takeo,"['focus beats', 'lo-fi beats']",45
Dreams We've Had,"['minneapolis indie', 'modern dream pop']",37
Light Hands Trio,[],33
Char,[],34
Jauq,[],23
J E N,"['focus beats', 'lo-fi beats']",26
Mother 2,['vgm instrumental'],28
Backstreet Boys,"['boy band', 'dance pop']",75
Cartier God,"['drain', 'glitchcore', 'plugg', 'sigilkore', 'underground hip hop']",42
Ashlee,[],43
MyceliumBug,[],35
new threads,['boston indie'],1
Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",76
Boney M.,['europop'],70
OHYUNG,['experimental hip hop'],9
Ezzyland,[],9
Squarepusher,"['abstract', 'drill and bass', 'electro', 'electronica', 'intelligent dance music', 'trip hop']",44
Hannah Xaviera,[],4
Carly Simon,"['adult standards', 'brill building pop', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",60
Annaland,[],25
Wingtip,"['electropop', 'indie poptimism', 'nyc pop', 'pop rock']",48
Stan Kenton,[],6
Memo Boy,['weirdcore'],56
Foley,['nz pop'],35
Rob Smyles,[],15
Madelline,['hyperpop'],39
Higher Brothers,['chinese hip hop'],55
Jonathan Geer,"['indie game soundtrack', 'video game music']",29
Atlas Genius,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'shimmer pop']",47
Destiny Rogers,[],54
Wayman Tisdale,['smooth jazz'],36
Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",82
Tristan D. Perez,['lo-fi vgm'],27
La Bande A Renaud,[],0
Silentó,"['chicago bop', 'pinoy hip hop']",49
SyKo,['glitchcore'],57
Johnny Yukon,['trap soul'],43
ANTIBOY,[],2
Rostam,"['art pop', 'indie pop']",48
Blue Franklin,['strut'],24
Emdasche,"['lo-fi vgm', 'otacore', 'undertale', 'vgm remix']",28
Billy Hicks Quartet,[],35
Mariah the Scientist,"['alternative r&b', 'indie r&b', 'pop', 'r&b']",63
J-swae,[],15
Roderick Porter,"['aesthetic rap', 'emo rap', 'lo-fi rap', 'meme rap', 'sad lo-fi', 'sad rap']",53
Lucas Lex,[],39
AbJo,"['abstract beats', 'future bass', 'vapor twitch']",24
Pharmacist,['drift phonk'],63
99 Neighbors,"['indie hip hop', 'underground hip hop', 'vermont indie']",47
Palace,['english indie rock'],58
Daniela Andrade,"['canadian contemporary r&b', 'folk-pop']",55
Maoen,[],27
Red Garland,"['bebop', 'hard bop', 'jazz', 'jazz piano', 'stride']",52
Alextbh,['chill r&b'],40
Mathew Lee Cothran,"['lo-fi indie', 'small room']",25
Hala,['indie garage rock'],36
Stevie Dinner,"['atlanta indie', 'indie garage rock']",33
ELOQ,['danish electronic'],37
SEKAI NO OWARI,"['anime', 'j-pop']",63
Tkyogrl,[],17
DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",76
Rachel Chinouriri,['uk pop'],54
Martin Luke Brown,[],34
Bad Bad Hats,"['bubblegrunge', 'indie pop', 'indie rock', 'minneapolis indie']",42
Phantaboulous,"['antiviral pop', 'minecraft']",31
atsuover,['fnf'],46
Sepiatonic,[],6
Sniffle Party,['eau claire indie'],32
SPZRKT,['neo r&b'],17
Manaka Kataoka,[],27
Ryan Foret And Foret Tradition,['swamp pop'],27
Absofacto,"['indie psych-pop', 'shimmer psych']",54
Una Mey,[],5
Halima,[],34
Kool&Klean,['smooth jazz'],34
oneohkay,['future bass'],27
Shinjuku Jumpshot,[],22
SAYGRACE,"['dance pop', 'pop', 'post-teen pop', 'r&b']",56
London Grammar,"['metropopolis', 'nottingham indie']",63
The Avett Brothers,"['indie folk', 'new americana', 'north carolina indie', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",60
JACKBOYS,"['rap', 'trap']",64
Trolls,['deep classic garage rock'],30
Yung Bleu,"['alabama rap', 'pop rap', 'r&b', 'rap', 'trap']",68
Hemlock Ernst,['jazz rap'],36
NVDES,['indie poptimism'],39
Fletcher Reed,['chillhop'],44
Agnosia,[],1
Eamon,[],50
apothedog,[],1
Ryan Roth,['indie game soundtrack'],30
Culprate,['filthstep'],35
Party Nails,['indie electropop'],25
Kreon,[],21
Great Dane,"['electronic trap', 'halftime dnb', 'vapor twitch']",35
Fenne Lily,"['bristol indie', 'british singer-songwriter', 'indie folk', 'indie pop']",48
Sebastian Ingrosso,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",61
AUDREY NUNA,"['alternative r&b', 'indie r&b', 'modern indie pop']",51
Samurai Guru,[],14
Bikini Kill,"['indie punk', 'olympia wa indie', 'riot grrrl']",46
Neon Indian,"['alternative dance', 'chillwave', 'denton tx indie', 'experimental pop', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",46
S-Ilo,[],40
Boni,['weirdcore'],17
Labi Siffre,"['classic uk pop', 'soul']",49
Jay Stone,[],23
The Chalkeaters,"['antiviral pop', 'otacore']",46
LUMiN,[],24
Claptu,[],38
Buzzy Lee,[],39
Travis Thompson,['seattle hip hop'],46
Solaze,[],28
b.i.g.s.h.r.i.m.p,[],3
LPX,[],28
Erik Correll,['vgm instrumental'],37
Daniella Mason,[],30
12Vince,"['chillhop', 'jazz boom bap']",30
Brandon Skelton,"['lo-fi vgm', 'pokemon']",25
Ada Lea,"['indie folk', 'montreal indie']",32
Danrell,[],33
Kaiya Crawford,[],8
Matilda,[],3
Louis Prima,"['adult standards', 'jump blues', 'lounge', 'swing', 'vocal jazz']",57
jamvvis,[],14
Yb.,[],31
Tungevaag,"['big room', 'dance pop', 'edm', 'electro house', 'nordic house', 'pop dance', 'pop edm', 'tropical house']",65
CMC 3,['background jazz'],48
Raccoon With a Groovebox,[],29
Carlie Hanson,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",50
This Is Tomorrow,['luxembourgian indie'],18
Blu Cantrell,"['hip pop', 'r&b', 'urban contemporary']",56
Claire Waluch,['vgm instrumental'],33
Mandevilla,['background jazz'],49
Lanna Nafr,[],2
Avalon,[],26
Michael Nau,"['baltimore indie', 'indie folk']",51
The Night Game,"['indie poptimism', 'modern alternative rock']",42
William McVicker,['classical organ'],39
Oscar Scheller,['lo-fi indie'],44
Active Child,"['chillwave', 'metropopolis']",40
Capital Cities,"['metropopolis', 'modern rock']",65
Tom Doolie,['lo-fi beats'],55
Doni,"['classic bulgarian pop', 'lo-fi vgm']",18
The Babies,"['garage pop', 'indie garage rock', 'indie punk', 'indie rock', 'noise pop']",31
Luna Luna,['dallas indie'],44
Myke Bogan,"['portland hip hop', 'underground hip hop']",33
Channel Tres,"['indie soul', 'la pop']",59
Swing Republic,"['electro swing', 'nu jazz']",37
Allen Love,[],21
YOSIE,[],38
Dana and Alden,[],26
So!YoON!,"['k-indie', 'korean indie rock']",45
Franklin Trio,['background jazz'],38
Posh Chocolates,[],23
St. Beauty,['alternative r&b'],36
Young Rising Sons,"['folk-pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",50
cehryl,"['bedroom soul', 'chill r&b']",42
Monica Martin,[],47
Sam Feldt,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",71
Ivan Tishko,[],0
What I Wish,['focus beats'],25
Mr. Jello,['focus beats'],39
Computerwife,['lo-fi indie'],32
Lou Reed,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'psychedelic rock', 'rock', 'singer-songwriter']",61
Boy Sim,"['pink noise', 'proto-hyperpop']",20
Minsu,['k-indie'],30
Marika Takeuchi,"['anime score', 'japanese piano']",48
Junior Senior,['danish pop'],52
Braxton Cook,"['alternative r&b', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'uk contemporary jazz']",47
Lone,"['downtempo', 'electronica', 'future garage', 'intelligent dance music', 'lo-fi house', 'uk bass', 'wonky']",45
Wild Ones,"['electropop', 'portland indie', 'vapor soul']",38
Aaron Childs,[],38
Somni,[],38
1788-L,"['dark clubbing', 'electro house']",36
SUMMY,[],5
James Vincent McMorrow,"['indie folk', 'irish singer-songwriter']",57
Tuvaband,['pop folk'],35
Enjoy,"['indie garage rock', 'oc indie']",47
fourwalls,[],48
Kamex,"['fnf', 'otacore', 'vgm remix']",38
1300,[],28
Qrion,"['japanese edm', 'japanese house']",39
Korey Wade,[],36
The Ting Tings,"['alternative dance', 'dance pop', 'dance-punk', 'electropop', 'new rave']",50
Cold,[],23
Ruel,"['australian alternative pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",67
Gallant,[],51
Ruuth,['indie electropop'],38
MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",65
Ängie,"['alt z', 'electropop', 'escape room', 'indie poptimism']",41
Jerry Folk,"['future bass', 'vapor soul', 'vapor twitch']",46
Tunde Olaniran,"['detroit indie', 'escape room']",27
Dramadigs,"['german boom bap', 'german jazz rap']",28
Emilio Lanza,[],10
Girls Aloud,"['bubblegum dance', 'dance pop', 'electropop', 'europop', 'girl group', 'pop', 'post-teen pop']",54
Paul Anka,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",59
Obijuan,['uk alternative hip hop'],23
KEY!,"['underground hip hop', 'vapor trap']",48
Smash Mouth,"['alternative rock', 'pop rock']",64
Sara King,['bedroom pop'],20
The Guy Who Sings Your Name Over and Over,['comedy rock'],22
Subtle Pride,[],19
Jake Milliner,"['indie jazz', 'uk contemporary jazz']",32
Wayne Toups,"['cajun', 'swamp pop', 'zydeco']",31
Magic System,"['afropop', 'francoton', 'french pop', 'zouglou']",57
Karlae,['trap queen'],35
Laced Stacy,[],3
Nelly Vernon,[],35
Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",74
Strangers You Know,[],20
BIIANCO,['vapor soul'],28
Gavin Luke,"['background music', 'calming instrumental', 'compositional ambient', 'focus']",55
Mimic,[],0
Ok2222,['lo-fi beats'],40
Shrimpnose,['lo-fi beats'],41
KREAM,"['dance pop', 'deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",60
Marina Hova,[],34
Jeremy Soule,"['orchestral soundtrack', 'scorecore', 'video game music']",64
MIKA,"['europop', 'pop']",65
Osquello,[],31
Screaming Females,"['bubblegrunge', 'indie punk', 'new jersey hardcore', 'new jersey indie', 'riot grrrl']",37
The Shins,"['albuquerque indie', 'alternative rock', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'stomp and holler']",60
No Words,[],2
Steve Aoki,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",72
Kiko,[],19
Moon Tide Gallery,[],33
Full Tac,"['proto-hyperpop', 'viral rap']",47
Rezz,"['canadian electronic', 'edm', 'electra', 'electro house']",61
Marion Meadows,"['smooth jazz', 'smooth saxophone']",41
Robaer,['german house'],32
ELSZ,['experimental r&b'],19
Tyga,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
Isa Reyes,[],24
Tune in with Chewie,['lo-fi vgm'],38
Leo Kalyan,['vapor soul'],28
Gustavo Santaolalla,"['argentine ambient', 'latin classical', 'latin soundtrack', 'orchestral soundtrack', 'soundtrack']",62
alfon zaaberg,[],5
Sam Barsh,[],32
Kayou.,['japanese chillhop'],46
Billy Walker,['traditional country'],35
Deerhoof,"['art pop', 'bay area indie', 'experimental indie rock', 'experimental pop', 'experimental rock', 'garage psych', 'noise pop', 'noise rock']",38
The Strange Man Who Sings About Dead Animals,['comedy rock'],4
BraedenV,[],10
MIDORINOMARU,"['japanese jazz', 'japanese jazz fusion']",24
Denmark Vessey,['jazz rap'],32
Jack Garratt,['uk alternative pop'],46
