,genres,artist_popularity
Will McInnis,['focus beats'],25
JAY-Z,"['east coast hip hop', 'hip hop', 'rap']",83
Daryl Hall & John Oates,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",71
Omar Apollo,"['bedroom pop', 'bedroom soul', 'pop', 'r&b']",74
Ray Ben Rue,"['chillhop', 'lo-fi brasileiro']",36
Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",80
Peachy!,"['indie pop', 'lo-fi beats', 'lo-fi chill']",56
REI AMI,"['alt z', 'escape room', 'modern indie pop', 'viral rap']",54
Red Velvet,"['k-pop', 'k-pop girl group']",71
Clairity,['metropopolis'],29
Sense,[],30
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97
Daniel Koestner,['indie game soundtrack'],38
noctude,[],7
Sound Effects Of Hollywood,['sound effects'],5
MIMIDEATH,"['glitchcore', 'hyperpop', 'plunderphonics']",50
spill tab,"['indie pop', 'indie r&b', 'modern indie pop']",50
FHAT,[],34
Herizen,['dark pop'],39
All Time Low,"['modern rock', 'pop punk', 'rock']",69
"quickly, quickly","['chillhop', 'future bass', 'lo-fi beats', 'portland hip hop', 'vapor twitch']",44
Syd,"['alternative r&b', 'indie r&b', 'indie soul', 'lgbtq+ hip hop', 'r&b']",65
Chill Children,[],37
SudoName,[],26
grandma,[],37
ミドリ,"['japanoise', 'jazzcore']",35
Brenky,"['chillhop', 'lo-fi beats']",41
Weedthief,['lo-fi beats'],34
BbyMutha,"['alternative r&b', 'escape room', 'tennessee hip hop', 'trap queen']",38
The Deli,[],17
Mannequin Pussy,"['bubblegrunge', 'indie pop', 'indie punk', 'indie rock', 'modern hardcore', 'modern power pop', 'riot grrrl']",44
Kilo Kish,"['alternative r&b', 'art pop', 'electropop', 'escape room', 'pop']",48
"""Weird Al"" Yankovic","['comedy rock', 'comic', 'parody']",58
Whethan,"['edm', 'electropop', 'hyperpop', 'indie poptimism', 'tropical house', 'vapor twitch']",61
potsu,"['japanese chillhop', 'lo-fi beats', 'lo-fi rap']",59
Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",75
Sports,"['neo-psychedelic', 'tulsa indie']",56
Shura,"['art pop', 'electropop', 'indie pop', 'indie poptimism']",46
Cafuné,['brooklyn indie'],67
Mickey Darling,"['indie pop', 'modern indie pop']",50
